早く,はやく,hayaku,vite
行く,いく,iku,aller
わかる,わかる,wakaru,comprendre
どこ,どこ,doko,où
あそこ,あそこ,asoko,là-bas
暑い,あつい,atsui,chaud
そう,そう,sou,ainsi
展,てん,ten,exposition
見る,みる,miru,voir
何,なに,nani,quoi
まだ,まだ,mada,pas encore
いい,いい,ii,bien
あした,あした,ashita,demain
朝食,ちょうしょく,choushoku,petit déjeuner
おはようございます,おはようございます,ohayougozaimasu,bonjour
パン,パン,pan,pain
食べる,たべる,taberu,manger
コーヒー,コーヒー,koohii,café
飲む,のむ,nomu,boire
ビール,ビール,biiru,bière
りんご,りんご,ringo,pomme
それでは,それでは,soredeha,alors
卵,たまご,tamago,oeuf
税関,ぜいかん,zeikan,douane
カメラ,カメラ,kamera,appareil photo
持つ,もつ,motsu,posséder
はい,はい,hai,oui
ある,ある,aru,se trouver
トランク,トランク,toranku,valise
中,なか,naka,intérieur
洋服,ようふく,youfuku,vêtements
本,ほん,hon,livre
それ,それ,sore,cela
だけ,だけ,dake,seulement
酒,さけ,sake,alcool
けっこう,けっこう,kekkou,parfait
買物,かいもの,kaimono,courses
デパート,デパート,depaato,grand magasin
一緒,いっしょ,issho,ensemble
買う,かう,kau,acheter
靴下,くつした,kutsushita,chausettes
着く,つく,tsuku,arriver
入る,はいる,hairu,entrer
ここ,ここ,koko,ici
でも,でも,demo,mais
高井,たかい,takai,cher
やめる,やめる,yameru,abandonner
